timestamp,capital
2024-01-01,10000.00
2024-01-02,9995.47
2024-01-03,9995.51
2024-01-04,9996.57
2024-01-05,10001.69
2024-01-06,10006.10
2024-01-07,10009.98
2024-01-08,10011.52
2024-01-09,10011.26
2024-01-10,10012.81
2024-01-11,10001.39
2024-01-12,10001.43
2024-01-13,9996.30
2024-01-14,9988.32
2024-01-15,9995.67
2024-01-16,9988.59
2024-01-17,9990.79
2024-01-18,9984.67
2024-01-19,9998.49
2024-01-20,9994.04
2024-01-21,10000.83
2024-01-22,9995.22
2024-01-23,9991.60
2024-01-24,10017.31
2024-01-25,10021.48
2024-01-26,10022.29
2024-01-27,10009.10
2024-01-28,10008.25
2024-01-29,10009.46
2024-01-30,10015.89
2024-01-31,10027.33
2024-02-01,10014.65
2024-02-02,10004.85
2024-02-03,10007.61
2024-02-04,10008.60
2024-02-05,9998.69
2024-02-06,9995.11
2024-02-07,9998.67
2024-02-08,9998.72
2024-02-09,9991.14
2024-02-10,9974.95
2024-02-11,9974.89
2024-02-12,9975.32
2024-02-13,9979.50
2024-02-14,9987.11
2024-02-15,9986.86
2024-02-16,9986.21
2024-02-17,9988.77
2024-02-18,9980.54
2024-02-19,9988.54
2024-02-20,9988.67
2024-02-21,9984.66
2024-02-22,9974.24
2024-02-23,9980.26
2024-02-24,9982.83
2024-02-25,9980.05
2024-02-26,9985.19
2024-02-27,9985.55
2024-02-28,9988.47
2024-02-29,9988.49
2024-03-01,9987.80
2024-03-02,9996.92
2024-03-03,9989.17
2024-03-04,9978.43
2024-03-05,9961.92
2024-03-06,9964.19
2024-03-07,9960.39
2024-03-08,9970.83
2024-03-09,9971.10
2024-03-10,9970.99
2024-03-11,9964.03
2024-03-12,9969.56
2024-03-13,9967.42
2024-03-14,9969.23
2024-03-15,9973.35
2024-03-16,9963.57
2024-03-17,9953.97
2024-03-18,9966.49
2024-03-19,9962.13
2024-03-20,9968.09
2024-03-21,9971.72
2024-03-22,9974.71
2024-03-23,9975.58
2024-03-24,9976.80
2024-03-25,9969.97
