timestamp,capital
2024-01-01,10000.00
2024-01-02,9995.47
2024-01-03,9995.47
2024-01-04,9996.54
2024-01-05,9996.54
2024-01-06,9996.54
2024-01-07,10000.40
2024-01-08,10001.92
2024-01-09,10001.67
2024-01-10,10003.21
2024-01-11,9991.86
2024-01-12,9991.90
2024-01-13,9991.90
2024-01-14,9991.90
2024-01-15,9999.33
2024-01-16,9992.18
2024-01-17,9994.40
2024-01-18,9994.40
2024-01-19,9994.40
2024-01-20,9994.40
2024-01-21,9994.40
2024-01-22,9988.79
2024-01-23,9985.17
2024-01-24,10010.85
2024-01-25,10015.01
2024-01-26,10015.82
2024-01-27,10002.65
2024-01-28,10002.65
2024-01-29,10003.85
2024-01-30,10003.85
2024-01-31,10003.85
2024-02-01,9991.50
2024-02-02,9991.50
2024-02-03,9994.25
2024-02-04,9995.23
2024-02-05,9985.37
2024-02-06,9985.37
2024-02-07,9988.94
2024-02-08,9988.94
2024-02-09,9988.94
2024-02-10,9972.62
2024-02-11,9972.56
2024-02-12,9972.99
2024-02-13,9977.20
2024-02-14,9977.20
2024-02-15,9977.20
2024-02-16,9977.20
2024-02-17,9979.80
2024-02-18,9979.80
2024-02-19,9979.80
2024-02-20,9979.80
2024-02-21,9979.80
2024-02-22,9979.80
2024-02-23,9985.96
2024-02-24,9988.59
2024-02-25,9988.59
2024-02-26,9988.59
2024-02-27,9988.59
2024-02-28,9988.59
2024-02-29,9988.59
2024-03-01,9988.59
2024-03-02,9997.82
2024-03-03,9989.98
2024-03-04,9979.12
2024-03-05,9979.12
2024-03-06,9979.12
2024-03-07,9979.12
2024-03-08,9989.97
2024-03-09,9990.25
2024-03-10,9990.13
2024-03-11,9982.90
2024-03-12,9982.90
2024-03-13,9980.70
2024-03-14,9982.57
2024-03-15,9986.81
2024-03-16,9976.74
2024-03-17,9966.86
2024-03-18,9979.74
2024-03-19,9979.74
2024-03-20,9979.74
2024-03-21,9983.48
2024-03-22,9986.57
2024-03-23,9986.57
2024-03-24,9986.57
2024-03-25,9986.57
